handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
bdhadoopers,Boulder Hadoopers,1365,3,0,1,2,0,5,94
HadoopCareer,Hadoop Career,154,114,0,1,352,1,1,106
weicreative,weicreative,1360,1030,1,1,787,1,10,136
johngoulah,John Goulah,1901,1280,1,1,469,268,39,811
sqlfool,Michelle Ufford,2002,7678,1,1,248,11,229,2942
jbgeorge,Joseph George,1956,3308,1,1,2026,110,115,1890
drluckyspin,drluckyspin,2218,825,1,1,177,4,54,829
HadoopA,حَكااَيههٓ ه قلبْ,157,1623,0,1,770,63,2,593
rathboma,Matthew Rathbone,2158,2873,1,1,448,19,59,949
sasata299,ささたつ(Tatsuya Sasaki),1893,32745,1,1,446,5932,300,3170
RobertsPaige,Paige Roberts,1763,10411,1,1,784,1,206,3051
hadoop_girl,Hadoop Girl,440,179,1,1,248,7,8,114
joep,Joep R.,967,820,0,1,128,139,15,775
TheDataChef,Jacob Perkins,1561,547,1,1,117,7,167,1503
HadoopSherpa,David Chaiken,1540,1,0,1,4,1,1,32
HadoopPGH,HadoopPGH,848,17,0,1,31,0,2,42
andreisavu,Andrei Savu,2177,14656,1,1,7526,548,261,7025
spatialhadoop,Spatial Hadoop,416,15,0,1,1,0,1,53
nlhug,NL Hadoop User Group,789,3,0,1,24,0,5,50
HadoopUserHelp,Hadoop User Help,106,18,1,1,217,0,0,55
TM_Hadoop,TM Hadoop Group,1393,0,1,1,5,0,3,39
HadoopIlluminat,Hadoop Illuminated,452,88,0,1,87,0,2,110
HadoopTom,Thomas Lojko,336,61,0,1,214,1,1,94
q_hadoop,Hadoop,1286,295,0,1,0,0,8,80
bridgetkromhout,Bridget Kromhout,352,1440,0,1,338,1043,45,695
hadoopturkiye,Hadoop Turkiye,156,31,0,1,91,2,4,71
BIDOOP_HADOOP_i,BIDOOP International,715,461,1,1,41,2,5,62
HadoopBR,HadoopBR ,1043,202,0,1,0,0,0,59
Hadoop_feng,wangfenggang,1769,123,0,1,60,1,0,35
