handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
ShotAnalytics,Shot Analytics,72,91,1,1,366,10,35,1645
BBallAnalytics,Justin Zormelo,1067,538,1,1,551,27,10,674
analytic_philo,Analytic Philosophy,1124,945,1,1,494,1,126,4281
mocapanalytics,MOCAP Analytics,740,113,1,1,141,2,12,226
MYAnalytics,Mind Your Analytics!,847,706,1,1,850,49,148,1248
IBM_WA,IBM Web Analytics,2171,286,1,1,69,0,155,1624
Data_Informed,Data Informed,814,3401,1,1,6818,1,474,14281
ZoomAnalytics,Zoom Analytics,422,8063,0,1,30307,497,642,38047
MostlyAnalytics,Ryan McNaught,1004,899,1,1,2937,16,76,3338
Moz,Moz,2116,34074,1,1,2239,89,11381,300537
simplymeasured,Simply Measured,1634,10340,1,1,6156,2885,1549,220280
EuclidAnalytics,Euclid,821,418,1,1,383,5,63,722
CardinalPath,Cardinal Path ,1176,2167,1,1,323,288,241,2858
coremetrics,IBM EMM,1810,1522,1,1,199,1,441,4147
ibmbizanalytics,IBMBusinessAnalytics,2207,5045,1,1,835,13,832,16518
Adv_NFL_Stats,Brian Burke,1501,3034,1,1,53,36,634,11295
AdobeAnalytics,Adobe Analytics ,251,510,1,1,86,115,56,4862
IE_Analytics,IE.Analytics,1108,4767,1,1,967,24,107,1352
mixpanel,Mixpanel,1869,1603,1,1,8755,206,628,14065
LogiAnalytics,Logi Analytics,1924,2371,1,1,2480,620,211,4285
DataScienceCtrl,Data Science Central,941,289,1,1,1031,0,222,5237
Analytics_Edge,Analytics Edge,54,161,1,1,2044,225,81,2293
bosilytics,Thomas Bosilevac,2210,8935,1,1,2067,700,211,2579
Semphonic,Semphonic (EY),1593,5439,1,1,1022,6,201,2590
fitzanalytics,Fitzgerald Analytics,1602,4963,0,1,1355,175,162,1936
MA_CapitalMkts,Moody's Analytics CM,1331,1406,1,1,122,0,156,3368
BenAlamar,Ben Alamar,1692,1888,0,1,464,9,119,2230
jnunemaker,John Nunemaker,2832,15093,0,1,428,423,540,6687
MedeAnalytics,MedeAnalytics ,1837,1444,1,1,141,14,35,497
LBiAnalytics,LBi Analytics,1881,1097,1,1,324,2,136,1345
analyticssports,Sports Analytics,993,143,1,1,201,1,33,1483
tableau,Tableau Software,2191,6592,1,1,2179,104,1522,30470
angelfishstats,Angelfish Analytics,1458,58,1,1,2,0,13,178
inside_R,inside-R Community,1499,550,1,1,979,0,410,6623
CBRELaborView,CBRE Labor Analytics,1728,818,1,1,1611,16,98,2502
SeeIBMAnalytics,IBM Analytics Events,1877,5367,1,1,58,0,180,3784
jacqueswarren,Jacques Warren,1963,8887,1,1,1072,10,297,3082
AnalyticsChap,Joe Burridge,295,831,1,1,5169,43,204,9175
ZimanaAnalytics,Pierre DeBois,2102,27768,1,1,2558,5149,198,2998
metamarkets,Metamarkets,1508,1011,1,1,564,581,171,2263
maslett,Matt Aslett,1920,7187,0,1,301,19,342,4617
Kellblog,Dave Kellogg,1597,9091,0,1,1805,82,278,4912
RLangTip,One R Tip a Day,1103,864,1,1,11,2,550,12066
latentview,LatentView Analytics,1721,14274,1,1,786,48,65,2173
onbehavior,Online Behavior,1516,1907,1,1,38,30,446,5051
SASanalytics,SASanalytics,1586,9689,1,1,1740,173,513,12201
anton_chuvakin,Dr. Anton Chuvakin,2302,9772,1,1,2965,263,684,11946
AnalyticsGeek,@analyticsgeek,1842,2168,1,1,653,38,41,774
pauldix,Paul Dix,2274,2536,0,1,710,60,251,2769
SumAll,SumAll,1101,3295,1,1,405,1682,340,6178
artsanalytics,Arts & Analytics,2168,2833,1,1,1714,4,23,1486
VisierAnalytics,Visier,1135,4144,1,1,49,167,112,2475
BizAnalyticsTT,sBusinessAnalytics,1466,1554,0,1,269,4,103,1129
ACGAnalytics,ACG Analytics,1338,1862,1,1,422,0,27,576
JasonBurby,Jason Burby,2599,506,1,1,327,19,190,2164
AdobeMktgCare,Adobe Marketing Care,1975,22497,1,1,1928,134,323,5949
host_analytics,host analytics,1623,2262,0,1,2001,15,68,1894
TRA_TVMetrics,TRA TV Analytics,1323,516,1,1,237,10,38,1229
thinkBigA,Think Big Analytics,1387,498,0,1,78,2,59,777
RosslynBI,Rosslyn Analytics,1590,1654,1,1,1758,14,49,1277
Lavastorm_News,Lavastorm Analytics,1156,3870,1,1,1992,191,94,1253
Tech_Analitica,Tech Analytics,974,30947,0,1,3970,0,152,5401
Agent_Analytics,Mark Stevenson,1904,263,1,1,127,14,48,1946
bairanalytics,BAIR Analytics,1619,529,1,1,370,83,14,281
datanami,Datanami,1065,3182,1,1,298,4,129,2345
15071x,The Analytics Edge,83,7,0,1,18,0,2,79
TeamPraescient,Praescient Analytics,984,990,1,1,346,56,16,531
utah_analytics,Utah Analytics,1670,404,0,1,1777,0,39,1482
cali_analytics,California Analytics,1670,664,0,1,2021,0,37,1674
datascifellows,Data for Social Good,430,515,0,1,142,6,108,2129
datalicious,datalicious,2084,7327,1,1,7072,185,565,10195
AureliePols,Aurelie Pols,1876,5843,1,1,1008,376,252,2534
WAIBlog,Web Analytics India ,2335,531,0,0,795,1,93,1933
11AntsAnalytics,11Ants Analytics,1424,668,1,1,1994,2,47,973
TextMiningNews,Text Analytics News,1252,468,0,1,1998,15,49,1097
FYeahAnalytics,Fuck Yeah Analytics,1211,1900,0,1,489,58,66,949
AnalyticsMediaG,AnalyticsMediaGroup,407,30,0,1,47,0,29,366
MinneAnalytics,MinneAnalytics,733,773,1,1,1628,3,38,812
BRIDGEi2i,BRIDGEi2i Analytics,1079,4516,1,1,1270,471,44,1301
ForeSee,ForeSee,1912,2517,1,1,1965,67,358,4188
webanalytics_it,Web Analytics,1669,2535,1,1,166,41,75,874
Block6Analytics,Block Six Analytics,1581,450,1,1,183,1,1,106
fractalites,Fractal Analytics,1819,1103,1,1,796,12,36,885
AnalyticsDigest,Analytics Digest,1818,712,1,1,6,0,89,626
analyticalchem,Analytical Chemistry,1848,232,0,1,2,0,80,1842
an_chem,Analytical Chemistry,825,843,1,1,141,23,42,1631
analyticsapp,Analytics App,2008,165,0,1,0,1,122,734
